Age,Income,LoanAmount,Tenure,InterestRate,NumDependents,CreditScore,PreviousDefaults,EmploymentType,Region,Default
45,35609,429504,48,15.36,4,457,1,Salaried,Semiurban,1
34,90683,103352,60,17.98,4,411,1,Salaried,Urban,1
29,139714,474127,12,9.99,1,701,1,Self-employed,Urban,0
46,145330,213856,60,17.17,3,421,0,Self-employed,Rural,1
22,86315,53191,24,16.4,3,572,0,Salaried,Urban,1
40,92834,926968,48,14.95,4,593,0,Self-employed,Rural,0
48,141205,678864,24,14.38,3,697,3,Salaried,Semiurban,0
27,29153,245713,60,10.98,4,770,0,Self-employed,Urban,0
64,91325,492939,12,16.48,1,506,0,Self-employed,Rural,1
28,70318,53631,36,13.02,4,409,1,Salaried,Urban,1
55,146886,187244,72,8.28,3,739,1,Salaried,Rural,0
34,130033,354224,72,10.94,3,577,2,Self-employed,Rural,1
37,91077,270169,60,17.79,4,867,2,Salaried,Rural,0
56,105474,664641,12,16.86,4,868,1,Salaried,Semiurban,0
60,148515,463497,48,18.3,4,781,1,Self-employed,Urban,0
24,88319,602959,24,14.41,2,413,1,Self-employed,Semiurban,1
22,140885,697099,24,10.22,3,776,1,Self-employed,Rural,0
26,124777,756791,24,9.29,3,620,0,Salaried,Rural,0
62,32368,271972,48,9.56,2,478,0,Self-employed,Semiurban,0
24,106751,827499,72,7.72,4,518,1,Self-employed,Semiurban,1
49,42306,439878,12,11.8,1,827,0,Self-employed,Urban,0
38,52219,798321,48,9.61,4,791,1,Self-employed,Rural,0
46,75279,558679,24,12.03,4,360,1,Self-employed,Semiurban,1
64,68028,471818,60,17.78,2,353,1,Salaried,Rural,1
54,119263,794149,36,12.24,3,837,0,Self-employed,Rural,0
30,15126,887831,48,17.16,4,364,1,Self-employed,Urban,1
56,67329,728832,48,14.16,3,885,1,Salaried,Urban,0
34,42632,754590,12,10.22,0,470,0,Self-employed,Urban,0
51,124945,57099,12,11.41,3,572,0,Self-employed,Semiurban,0
35,70176,823974,48,8.42,1,834,1,Salaried,Rural,0
28,149869,468647,24,11.17,1,690,0,Self-employed,Semiurban,0
34,49560,630780,36,14.95,4,626,0,Salaried,Semiurban,0
43,91589,146722,12,8.29,3,407,1,Self-employed,Urban,1
60,37116,604399,24,9.76,4,461,1,Salaried,Rural,1
41,147717,113936,60,11.7,2,751,1,Salaried,Rural,0
36,139085,727974,12,18.3,1,505,2,Self-employed,Urban,1
38,132718,273332,24,16.13,4,889,1,Salaried,Rural,0
44,34256,775836,24,15.57,2,315,2,Salaried,Urban,1
46,115158,823319,36,8.78,4,626,0,Self-employed,Semiurban,0
45,134719,373064,36,16.09,3,301,0,Self-employed,Semiurban,1
61,83244,537510,60,16.14,3,309,0,Salaried,Urban,1
49,71264,113530,24,14.11,3,733,0,Self-employed,Semiurban,0
35,72545,479440,72,18.39,3,424,0,Salaried,Semiurban,1
21,54224,319932,24,11.08,0,380,0,Salaried,Urban,0
45,112945,602370,36,17.85,2,784,1,Self-employed,Semiurban,0
27,28224,959719,72,17.56,2,449,0,Self-employed,Rural,1
29,55738,663858,12,7.63,3,639,1,Salaried,Semiurban,0
44,78731,675303,12,12.45,0,428,0,Self-employed,Urban,0
21,23070,782176,48,18.25,3,737,0,Self-employed,Rural,0
64,141161,920020,36,8.63,0,800,2,Salaried,Rural,0
28,23666,197603,48,13.53,3,357,1,Salaried,Semiurban,1
44,72761,924772,72,18.27,1,497,1,Salaried,Rural,1
31,51368,668727,36,13.61,1,510,1,Salaried,Urban,1
37,56914,191214,60,9.59,4,344,0,Salaried,Rural,0
28,142738,689341,24,13.9,3,396,0,Salaried,Semiurban,0
55,82526,622643,60,9.75,2,578,2,Self-employed,Semiurban,1
55,34956,453082,72,13.22,4,834,1,Salaried,Rural,0
53,61240,251139,36,8.31,1,709,1,Self-employed,Urban,0
25,136008,808994,72,14.16,3,760,3,Self-employed,Urban,0
62,109270,699714,24,13.18,4,690,1,Salaried,Semiurban,0
59,19757,638315,12,15.64,3,343,2,Self-employed,Semiurban,1
61,34097,501122,12,14.44,1,326,1,Salaried,Urban,1
48,118892,209210,72,13.55,4,396,0,Self-employed,Rural,0
27,85480,142601,48,15.09,1,847,0,Salaried,Rural,0
29,61163,79956,36,9.08,0,866,3,Salaried,Rural,0
28,34816,288340,36,14.05,1,518,2,Salaried,Rural,1
32,67853,679085,12,9.39,3,484,0,Salaried,Urban,0
54,111731,961349,60,17.68,2,368,0,Self-employed,Semiurban,1
53,77823,962735,24,8.25,1,429,2,Self-employed,Semiurban,1
43,16759,519511,60,12.23,2,866,0,Self-employed,Rural,0
44,107374,710799,60,15.15,0,898,1,Self-employed,Urban,1
57,148554,878965,72,12.54,4,633,0,Self-employed,Urban,0
55,39442,471486,12,8.51,4,453,1,Salaried,Rural,1
64,108501,653103,12,13.59,2,846,1,Salaried,Rural,0
60,17079,89279,12,14.56,4,378,1,Salaried,Rural,1
42,148789,421931,72,15.24,1,878,1,Salaried,Semiurban,0
47,74676,991392,48,11.61,2,712,0,Salaried,Rural,0
55,105397,198702,60,13.7,3,845,1,Self-employed,Semiurban,0
21,87847,111063,72,12.46,1,468,2,Salaried,Urban,1
55,108607,823887,36,14.89,1,882,0,Salaried,Urban,0
57,79077,304311,24,13.92,1,814,3,Self-employed,Semiurban,0
34,53258,702184,48,13.28,3,613,1,Self-employed,Semiurban,0
23,134771,740504,36,10.24,0,331,2,Salaried,Semiurban,1
21,53000,495377,60,7.52,4,586,0,Salaried,Semiurban,0
25,41737,539934,12,9.41,2,893,0,Self-employed,Rural,0
46,26485,569089,60,8.79,0,342,0,Salaried,Urban,0
34,53565,796434,72,12.44,2,300,1,Salaried,Rural,1
59,134614,258432,24,14.23,4,872,0,Salaried,Semiurban,0
47,80155,232051,72,9.84,3,569,0,Self-employed,Rural,0
29,67487,147661,48,17.83,1,479,2,Salaried,Rural,1
35,144948,974483,48,7.57,1,817,0,Salaried,Urban,0
35,27342,993693,24,16.0,3,402,2,Self-employed,Rural,1
46,55806,747960,36,14.38,0,309,0,Self-employed,Urban,0
62,63770,502776,36,11.61,0,882,0,Self-employed,Semiurban,0
33,93623,521256,48,8.06,2,389,0,Salaried,Rural,0
52,118177,173257,48,14.4,3,525,2,Self-employed,Semiurban,1
59,146026,922637,12,11.74,0,425,1,Salaried,Urban,1
52,90629,319054,36,17.8,3,508,2,Self-employed,Semiurban,1
24,135993,883289,24,13.46,4,396,0,Salaried,Semiurban,0
50,141944,609252,36,17.84,1,373,1,Self-employed,Urban,1
57,120947,468443,12,9.93,1,490,0,Salaried,Semiurban,0
43,41399,973482,72,15.48,1,355,2,Salaried,Semiurban,1
59,143177,853585,48,14.29,3,852,1,Self-employed,Semiurban,0
35,124575,371909,48,15.63,3,331,1,Self-employed,Rural,1
63,125904,804444,12,9.86,2,826,1,Salaried,Semiurban,0
49,45678,682500,24,14.81,1,873,1,Self-employed,Urban,0
56,91218,613359,48,12.98,2,583,0,Salaried,Rural,0
33,78230,162990,60,15.67,1,793,0,Self-employed,Rural,0
52,89055,119519,48,11.1,2,486,0,Self-employed,Urban,0
27,87258,59503,60,17.29,2,797,0,Salaried,Semiurban,0
42,54986,241775,12,8.43,4,741,1,Self-employed,Rural,0
48,100595,669745,12,16.38,2,429,0,Self-employed,Rural,1
22,116358,763226,48,16.97,3,591,1,Salaried,Rural,1
62,79929,197977,36,16.49,2,413,1,Salaried,Semiurban,1
26,88506,620126,60,13.14,1,498,3,Self-employed,Rural,1
48,49911,961632,24,12.32,2,312,1,Salaried,Urban,1
48,102127,501495,48,18.46,0,570,0,Self-employed,Semiurban,1
64,128453,663777,24,10.02,1,514,0,Self-employed,Urban,0
64,99458,76806,48,13.52,0,743,1,Salaried,Urban,0
40,27175,226072,36,14.88,1,811,1,Salaried,Rural,0
50,134235,465384,36,15.21,3,746,0,Salaried,Rural,0
31,69771,120119,36,9.74,3,373,1,Salaried,Rural,1
48,142157,875146,72,14.69,3,836,1,Salaried,Urban,0
45,136300,235165,36,16.5,0,400,1,Salaried,Semiurban,1
59,101925,891851,12,8.05,4,475,0,Self-employed,Rural,0
53,81358,679720,12,17.53,1,726,0,Self-employed,Rural,0
21,62057,520641,72,7.82,3,416,2,Salaried,Urban,1
47,21150,929381,60,11.42,1,465,0,Self-employed,Semiurban,0
33,19425,521027,24,7.67,0,340,2,Self-employed,Urban,1
61,31032,969965,48,8.35,4,728,0,Self-employed,Rural,0
23,17198,457507,48,17.52,0,643,0,Self-employed,Urban,0
59,133865,752164,72,11.4,1,723,1,Salaried,Rural,0
26,38236,913403,12,12.17,4,665,1,Self-employed,Semiurban,0
28,102955,929903,48,9.87,4,419,0,Self-employed,Urban,0
47,118145,901378,12,14.07,0,528,2,Salaried,Rural,1
29,109914,935421,60,14.04,3,429,0,Salaried,Rural,0
57,117870,134080,24,11.59,1,651,1,Salaried,Rural,0
53,131243,302791,60,11.16,2,617,0,Salaried,Rural,0
62,29596,127794,72,17.23,2,636,0,Self-employed,Urban,0
64,147351,342985,36,11.72,0,572,0,Salaried,Rural,0
44,126496,174447,36,12.93,1,416,0,Self-employed,Urban,0
35,145273,170029,36,10.62,1,667,1,Self-employed,Rural,0
52,135674,229830,60,16.15,0,393,2,Salaried,Urban,1
52,135307,557942,48,11.87,1,467,1,Salaried,Urban,1
44,34063,388416,24,13.15,3,640,0,Salaried,Rural,0
61,82642,611931,36,10.29,0,451,0,Salaried,Rural,0
32,105093,356094,72,18.36,3,885,1,Salaried,Rural,1
59,50954,237921,72,10.71,1,573,1,Salaried,Rural,1
22,42856,412644,36,15.98,0,853,0,Self-employed,Semiurban,0
23,17573,733404,36,12.2,1,795,0,Self-employed,Rural,0
57,50367,548685,24,9.77,0,400,2,Self-employed,Rural,1
37,114608,437732,36,16.3,1,856,1,Self-employed,Rural,1
22,75774,590285,24,11.17,3,381,2,Salaried,Urban,1
22,38752,916183,72,17.02,3,828,1,Salaried,Rural,1
48,70029,672893,36,17.57,1,372,1,Self-employed,Urban,1
43,145282,991415,60,16.96,0,313,1,Self-employed,Urban,1
57,66693,891965,60,7.89,2,732,2,Self-employed,Urban,0
52,131739,394710,72,16.16,3,456,2,Salaried,Urban,1
53,70961,800230,24,12.02,3,431,0,Salaried,Semiurban,0
21,141678,719931,60,17.11,2,637,0,Salaried,Rural,0
39,89532,682543,24,14.52,1,703,1,Self-employed,Urban,0
22,96994,834586,60,16.67,0,675,2,Self-employed,Rural,0
64,71133,501157,60,12.99,1,858,0,Salaried,Urban,0
46,76268,108005,24,13.39,4,406,0,Salaried,Semiurban,0
52,46653,267322,48,9.09,3,564,0,Self-employed,Urban,0
26,136829,239784,60,16.12,4,504,0,Self-employed,Rural,1
52,143377,617829,36,12.11,3,378,0,Salaried,Rural,0
24,16622,73387,72,13.0,3,454,2,Self-employed,Semiurban,1
31,63756,930412,48,16.14,4,546,0,Salaried,Rural,1
37,55809,754268,24,14.09,4,830,0,Salaried,Rural,0
58,31725,135457,48,9.71,1,837,2,Self-employed,Urban,0
44,66226,194129,12,13.99,4,453,0,Self-employed,Rural,0
25,96182,638316,12,11.98,1,453,1,Self-employed,Urban,1
54,44402,693534,60,12.66,1,391,0,Salaried,Semiurban,0
26,19263,367875,60,7.81,1,732,1,Self-employed,Rural,0
42,62924,730218,36,9.81,3,637,0,Self-employed,Urban,0
31,89182,229761,72,10.59,3,779,2,Salaried,Rural,0
36,50737,618926,48,15.34,4,430,1,Salaried,Urban,1
53,116332,534814,12,7.63,3,749,1,Self-employed,Semiurban,0
29,104563,227558,60,12.0,4,572,2,Salaried,Urban,1
26,143575,594855,72,17.66,3,887,3,Salaried,Rural,0
36,116371,472955,48,8.73,0,476,2,Salaried,Urban,1
49,53709,632092,60,13.18,0,348,1,Self-employed,Rural,1
23,36172,420965,60,16.15,4,866,0,Self-employed,Semiurban,0
40,26555,53754,12,17.87,3,654,1,Salaried,Urban,0
56,68276,601332,12,15.71,3,607,1,Salaried,Rural,0
39,72492,117260,60,15.43,1,345,1,Salaried,Rural,1
46,104599,116912,24,16.59,2,601,0,Self-employed,Rural,0
23,26046,306695,60,12.41,4,707,0,Salaried,Urban,0
39,131021,582994,72,16.36,2,488,2,Salaried,Urban,1
40,19853,845326,60,7.59,2,428,1,Self-employed,Urban,1
52,135900,985541,36,17.67,4,860,1,Salaried,Semiurban,0
27,74129,396130,36,12.38,3,836,1,Self-employed,Rural,0
61,129130,918374,36,13.59,4,565,1,Self-employed,Rural,1
53,136789,756972,24,10.3,2,417,1,Self-employed,Semiurban,1
60,53890,79725,24,15.67,3,763,0,Salaried,Semiurban,0
59,81017,186998,60,8.34,0,443,1,Salaried,Urban,1
38,147596,154555,36,17.1,4,741,2,Self-employed,Urban,1
60,115424,311486,24,16.61,4,499,2,Salaried,Urban,1
21,30048,845928,12,9.88,3,456,1,Self-employed,Urban,1
31,69912,630735,60,16.4,0,786,3,Salaried,Urban,0
48,49008,938036,72,16.15,0,433,0,Self-employed,Urban,1
45,146132,735166,48,14.45,3,447,1,Self-employed,Semiurban,1
43,98559,924631,60,11.61,1,635,1,Salaried,Semiurban,0
51,70337,615609,48,10.49,4,370,0,Salaried,Semiurban,0
50,125616,827401,36,10.05,4,532,0,Salaried,Rural,0
62,28350,283103,48,11.0,2,633,2,Salaried,Rural,0
55,39354,465872,36,17.44,3,389,0,Self-employed,Urban,1
27,60186,105147,12,8.35,2,633,0,Self-employed,Semiurban,0
36,43145,665684,48,16.62,2,498,1,Salaried,Rural,1
46,101123,492882,60,11.34,0,460,1,Salaried,Rural,1
22,35581,525584,36,13.24,4,837,1,Self-employed,Semiurban,0
21,103929,350931,60,16.24,2,420,1,Salaried,Rural,1
32,38051,294839,24,17.23,0,600,1,Salaried,Rural,1
25,66474,506162,36,11.29,3,874,2,Salaried,Semiurban,0
57,106748,596015,48,12.58,2,735,2,Salaried,Rural,0
52,140995,813711,36,12.06,4,367,0,Self-employed,Semiurban,0
29,84626,145081,60,7.65,2,758,0,Self-employed,Rural,0
61,21960,434865,12,10.76,3,813,2,Salaried,Semiurban,0
55,51408,815418,36,12.55,2,697,1,Self-employed,Rural,0
39,109006,642344,48,12.02,4,585,1,Salaried,Rural,1
36,72134,708441,24,15.44,0,860,2,Salaried,Semiurban,1
23,147413,739556,72,11.73,4,439,1,Salaried,Rural,1
40,105327,742095,12,12.88,0,855,0,Self-employed,Semiurban,0
44,146410,810109,24,12.23,1,889,0,Self-employed,Semiurban,0
53,26344,130102,36,15.65,4,581,2,Self-employed,Rural,1
44,147822,206570,60,16.99,4,877,0,Self-employed,Urban,0
31,82957,651153,60,13.35,3,756,0,Self-employed,Rural,0
28,120423,737016,48,16.18,2,386,1,Salaried,Urban,1
56,73053,117695,60,10.76,0,378,1,Salaried,Urban,1
58,92454,481116,12,13.46,0,504,0,Self-employed,Rural,0
60,105600,571608,60,11.3,3,636,0,Self-employed,Urban,0
40,137732,167235,48,12.06,3,553,0,Self-employed,Semiurban,0
55,52641,490917,72,15.56,2,603,1,Salaried,Semiurban,0
45,44711,683065,36,17.2,2,679,0,Self-employed,Urban,0
55,85342,69033,36,8.84,4,429,0,Salaried,Semiurban,0
45,121896,566409,60,14.48,1,895,0,Salaried,Rural,0
49,102833,716165,24,13.9,2,575,0,Self-employed,Semiurban,0
38,71276,741211,36,8.8,3,857,0,Salaried,Urban,0
38,34541,601120,72,9.83,2,482,1,Salaried,Rural,1
22,109457,244509,60,10.92,0,567,0,Self-employed,Semiurban,0
55,59813,427869,48,9.34,1,621,0,Salaried,Rural,0
36,39070,195016,72,10.18,4,811,1,Self-employed,Urban,0
61,95559,332017,60,10.44,0,377,0,Salaried,Semiurban,0
56,56786,614660,72,11.19,0,638,0,Self-employed,Rural,0
53,51062,139464,36,15.74,1,855,0,Self-employed,Rural,0
24,66571,720739,48,13.79,4,808,1,Salaried,Semiurban,0
53,40510,167322,60,18.35,3,537,1,Self-employed,Rural,1
34,34426,742111,12,12.06,4,433,0,Salaried,Rural,0
41,52265,936514,48,15.79,2,491,1,Salaried,Urban,1
40,81150,795182,12,17.09,0,655,1,Self-employed,Urban,0
28,102312,841542,72,14.97,2,577,1,Salaried,Urban,1
27,104613,497557,24,12.03,3,317,1,Self-employed,Urban,1
23,89910,848519,48,15.79,2,823,1,Salaried,Urban,0
37,67375,466978,72,9.74,4,479,1,Salaried,Urban,1
53,136826,919049,12,11.1,2,422,1,Self-employed,Semiurban,1
32,50435,674771,36,13.51,3,545,0,Salaried,Urban,0
42,111443,573886,36,13.83,3,672,0,Salaried,Rural,0
42,149055,583884,24,7.74,3,350,0,Salaried,Semiurban,0
50,38510,284627,48,17.9,4,370,0,Salaried,Rural,1
58,109071,681827,48,15.16,3,779,2,Salaried,Urban,1
58,21640,592601,48,12.95,0,859,2,Salaried,Urban,0
28,59547,949607,72,17.76,3,318,1,Salaried,Rural,1
47,69620,771909,24,12.33,2,383,1,Salaried,Rural,1
47,130608,164914,48,18.28,2,454,1,Self-employed,Rural,1
54,22564,597993,72,13.14,2,864,0,Salaried,Semiurban,0
41,128824,772724,36,8.76,4,656,0,Salaried,Urban,0
50,94273,909877,12,15.91,2,742,3,Self-employed,Rural,0
53,89859,153892,72,14.97,4,368,0,Self-employed,Urban,0
48,125017,784005,36,16.0,4,822,0,Self-employed,Rural,0
53,138618,314167,36,17.97,3,442,0,Salaried,Urban,1
25,140341,693942,12,16.04,0,491,0,Self-employed,Semiurban,1
39,44430,240868,36,14.22,3,686,1,Self-employed,Urban,0
24,42788,130073,24,16.93,3,677,0,Salaried,Rural,0
55,84346,928629,12,14.91,4,880,0,Salaried,Urban,0
37,111122,638717,36,11.99,4,834,0,Self-employed,Semiurban,0
64,54974,154195,60,17.24,2,592,0,Self-employed,Semiurban,1
48,122309,766987,72,9.94,2,308,2,Salaried,Urban,1
50,31371,83848,36,15.36,3,570,0,Salaried,Rural,1
49,60084,982883,24,17.2,1,686,0,Salaried,Semiurban,0
26,76916,339910,48,15.54,1,392,0,Salaried,Semiurban,1
55,88972,118099,36,15.17,2,828,2,Salaried,Urban,1
61,27984,479276,48,15.78,1,453,1,Self-employed,Semiurban,1
57,48039,119122,60,12.62,2,704,2,Salaried,Semiurban,0
44,100431,721447,36,17.12,4,448,1,Salaried,Rural,1
49,98691,623156,12,9.74,3,566,0,Salaried,Rural,0
51,73606,693407,48,8.9,0,721,0,Salaried,Rural,0
55,117665,466441,60,10.64,3,771,0,Salaried,Urban,0
53,120373,931718,12,13.35,2,846,2,Self-employed,Semiurban,0
41,39574,318787,12,13.12,2,825,1,Salaried,Urban,0
52,149502,536275,12,16.53,3,802,0,Self-employed,Semiurban,0
43,47733,348871,12,11.95,2,313,0,Salaried,Semiurban,0
53,17050,978509,36,12.83,1,663,0,Self-employed,Semiurban,0
23,124996,159079,72,7.65,1,418,0,Self-employed,Rural,0
38,48933,902129,36,12.01,2,537,0,Salaried,Urban,0
45,39951,66029,36,14.63,2,845,0,Salaried,Urban,0
62,47413,296353,60,7.67,1,468,1,Salaried,Semiurban,1
51,127573,457442,60,10.59,2,821,0,Salaried,Urban,0
23,137744,244718,72,9.79,2,815,0,Salaried,Rural,0
60,104431,471947,60,7.96,3,696,1,Self-employed,Urban,0
44,58001,421602,24,12.77,0,405,1,Salaried,Semiurban,1
52,82364,946816,72,9.5,1,384,1,Salaried,Rural,1
42,139988,118926,60,15.67,3,513,0,Self-employed,Rural,1
43,60028,711357,72,16.83,0,420,0,Salaried,Semiurban,1
22,146878,367650,36,13.5,2,431,0,Self-employed,Urban,0
47,139343,914661,36,18.3,2,496,1,Salaried,Semiurban,1
62,143301,493031,72,12.46,3,318,0,Self-employed,Urban,0
22,141295,92092,24,13.15,2,311,1,Salaried,Urban,1
46,49636,374683,24,18.38,4,380,2,Self-employed,Rural,1
37,39262,202889,72,10.05,3,629,0,Self-employed,Semiurban,0
60,95435,743221,60,17.87,0,691,0,Salaried,Rural,0
53,143583,587716,48,7.97,3,606,1,Salaried,Semiurban,0
29,56844,225006,24,12.41,1,566,3,Salaried,Semiurban,1
63,79754,820915,12,8.27,3,746,0,Self-employed,Rural,0
59,92129,819727,36,15.52,2,740,1,Self-employed,Semiurban,1
49,55042,191330,72,14.19,2,301,0,Self-employed,Semiurban,0
62,76665,107775,12,15.27,4,819,1,Salaried,Urban,1
46,131953,786940,72,11.62,4,608,2,Salaried,Semiurban,0
55,133533,317613,36,11.56,4,821,1,Self-employed,Semiurban,0
45,88781,340998,36,8.0,0,768,0,Salaried,Rural,0
44,81262,711616,24,11.35,4,511,0,Self-employed,Rural,0
33,61600,829446,24,17.72,0,411,0,Salaried,Semiurban,1
27,91898,126256,12,11.67,4,307,0,Salaried,Urban,0
56,45448,411278,72,16.65,0,776,0,Self-employed,Urban,0
40,41172,707011,36,16.77,3,759,0,Salaried,Rural,0
21,22657,231360,12,11.61,3,552,0,Salaried,Semiurban,0
28,127855,396874,48,14.45,2,825,2,Salaried,Semiurban,0
36,22906,468267,12,8.55,0,737,0,Salaried,Urban,0
34,76413,339530,60,8.64,1,535,0,Salaried,Urban,0
32,69028,292634,12,8.04,2,605,0,Self-employed,Urban,0
43,22287,983688,60,13.89,3,777,2,Salaried,Rural,0
35,48660,83787,60,12.19,0,319,0,Self-employed,Semiurban,0
48,75504,595909,60,13.53,4,515,0,Salaried,Rural,0
54,117979,652272,48,13.23,1,434,1,Salaried,Semiurban,1
22,49701,503008,12,11.35,3,428,2,Self-employed,Rural,1
52,98300,488469,12,14.95,2,709,2,Self-employed,Semiurban,0
43,98560,870483,48,15.84,0,721,0,Salaried,Urban,0
42,58642,361955,36,7.66,1,593,0,Salaried,Urban,0
45,80160,80447,24,9.78,0,545,2,Self-employed,Urban,1
42,32602,178046,12,15.35,4,855,3,Self-employed,Rural,0
42,118320,789290,24,11.75,2,385,1,Self-employed,Urban,1
62,103801,566494,72,14.79,0,855,1,Self-employed,Semiurban,0
26,40931,735614,72,11.32,3,674,0,Salaried,Rural,0
35,109377,920477,48,11.8,2,745,2,Salaried,Semiurban,0
63,44192,691147,72,9.25,3,677,0,Salaried,Rural,0
57,61542,238490,72,10.34,0,689,0,Salaried,Semiurban,0
53,142015,457688,36,14.16,2,350,0,Salaried,Semiurban,0
28,57520,554409,36,12.26,3,541,0,Self-employed,Rural,0
64,79772,577759,36,16.02,4,593,0,Self-employed,Rural,1
64,65106,288404,72,16.88,4,862,1,Self-employed,Urban,0
25,96121,694600,48,13.46,0,565,2,Salaried,Urban,1
59,40559,566595,60,15.84,2,419,0,Self-employed,Semiurban,1
24,120595,801164,60,10.88,1,547,1,Salaried,Semiurban,1
26,48742,713689,24,12.06,2,369,2,Salaried,Semiurban,1
52,84669,215937,60,15.34,4,356,1,Salaried,Rural,1
50,85831,96850,60,11.75,3,681,0,Self-employed,Rural,0
55,127217,366364,36,13.97,1,338,1,Salaried,Urban,1
60,56873,293306,36,9.54,0,742,1,Salaried,Semiurban,0
36,121532,143808,72,14.1,1,317,1,Self-employed,Urban,1
33,141267,551597,24,16.98,0,651,1,Salaried,Rural,1
62,149092,711757,12,17.06,1,597,0,Self-employed,Rural,1
50,56755,278981,24,15.47,0,582,1,Salaried,Rural,1
39,100956,572220,24,15.7,0,885,1,Self-employed,Urban,1
37,101988,740885,48,13.64,1,409,2,Salaried,Rural,1
39,60648,103072,72,13.93,1,479,1,Salaried,Semiurban,1
48,140991,795466,48,8.97,0,843,0,Self-employed,Urban,0
46,130005,658108,24,12.38,4,324,1,Salaried,Rural,1
57,17396,527746,24,12.46,1,356,0,Self-employed,Urban,0
46,99082,73284,24,18.04,2,479,0,Salaried,Urban,1
43,143322,133369,60,12.24,3,531,1,Self-employed,Rural,1
29,147663,861554,48,13.54,0,642,2,Salaried,Rural,0
32,26303,966781,24,13.37,0,776,0,Salaried,Urban,0
21,86719,906985,36,14.5,3,875,1,Salaried,Urban,0
21,114616,787266,72,15.73,4,754,1,Self-employed,Rural,0
54,139165,931220,72,9.98,3,531,0,Self-employed,Semiurban,0
52,101231,637100,36,13.32,1,588,1,Self-employed,Urban,1
45,22314,320143,72,16.59,3,512,0,Self-employed,Urban,1
60,34623,334580,60,12.59,0,557,0,Self-employed,Semiurban,0
21,120228,879395,60,10.56,3,829,0,Salaried,Rural,0
36,112624,707456,12,14.7,2,528,1,Salaried,Rural,1
59,126785,573156,12,16.56,1,525,0,Salaried,Semiurban,1
25,101206,819097,12,8.19,3,895,1,Salaried,Rural,0
42,84274,468495,72,16.04,0,734,0,Salaried,Rural,0
49,148541,302164,60,16.54,1,701,0,Self-employed,Urban,0
23,68947,945331,60,12.58,0,387,2,Salaried,Urban,1
32,63874,819605,60,18.32,4,883,1,Self-employed,Urban,1
46,64708,338345,36,16.15,2,841,1,Salaried,Semiurban,0
36,89553,200787,60,16.01,4,608,1,Self-employed,Rural,1
57,83344,210381,36,15.73,2,642,0,Self-employed,Rural,0
42,64138,720438,12,9.16,3,735,0,Self-employed,Urban,0
